Wireshark multicast filter:
ip.dst > 229.7.7.0 && ip.dst < 229.7.7.255

[sim@MRT-host bridge_rp]$ ./main 
18:38:10.555019: Recording traffic on 229.7.7.0:4000, from .1-.250
18:38:39.607124: Got message from 192.168.137.129 (229.7.7.1) bytes 171
18:38:39.622716: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.638901: Got message from 192.168.137.129 (229.7.7.53) bytes 65
18:38:39.639363: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.655472: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.669124: Got message from 192.168.137.129 (229.7.7.205) bytes 61
18:38:39.669530: Got message from 192.168.137.129 (229.7.7.222) bytes 61
Opening file file_192.168.137.129_229.7.7.205.bin
18:38:39.671761: Got message from 192.168.137.129 (229.7.7.100) bytes 96
Opening file file_192.168.137.129_229.7.7.222.bin
18:38:39.687789: Got message from 192.168.137.129 (229.7.7.45) bytes 63
18:38:39.689724: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.704753: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.721937: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.738845: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.755599: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.771590: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.788398: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.806392: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.822232: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.838460: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.855649: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.871382: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.888458: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.904979: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.921669: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.938944: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.957906: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.973000: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:39.988873: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.005404: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.022696: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.039445: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.056180: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.071676: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.088520: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.106209: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.122927: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.138581: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.155331: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.172877: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.188260: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.205743: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.221526: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.237866: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.256267: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.271633: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.288827: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.304849: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.321923: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.338429: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.354902: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.371988: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.388966: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.408812: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.422291: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.438819: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.454981: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.472336: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.487959: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.504905: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.521834: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.538986: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.554638: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.571362: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.588491: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.606134: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.622352: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.637934: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.655606: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.672662: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.687966: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.705338: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.722911: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.737587: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.755341: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.772609: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.788827: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.805668: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.821518: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.839404: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.856525: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.872458: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.888644: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.904938: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.921367: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.938533: Got message from 192.168.137.129 (229.7.7.100) bytes 96
