[sim@MRT-host udp-record-playback]$ ./main 
18:03:01.190624: Recording traffic on 229.7.7.0:4000, from .1-.250
18:03:18.976367: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:19.842788: Got message from 192.168.2.128 (229.7.7.1) bytes 58
18:03:19.958816: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:19.959055: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:19.959177: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:20.804858: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:20.805091: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:20.805186: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:20.957965: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:20.958308: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:20.958423: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:21.847794: Got message from 192.168.2.128 (229.7.7.1) bytes 58
18:03:21.976253: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:21.976492: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:21.976910: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:22.710265: Got message from 192.168.2.130 (229.7.7.1) bytes 130
18:03:22.803864: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:22.804367: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:22.804496: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:22.987565: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:22.987831: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:22.987927: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:23.088372: Got message from 192.168.2.130 (229.7.7.53) bytes 66
18:03:23.928835: Got message from 192.168.2.130 (229.7.7.45) bytes 65
18:03:23.983055: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:23.983312: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:23.984154: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:24.802223: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:24.804143: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:24.804384: Got message from 192.168.2.128 (229.7.7.9) bytes 120
